date,sentiment_mean,sentiment_std,news_count,ticker
2025-11-30,0.25,0.5,4,WMT
2025-12-01,0.6666666666666666,0.5773502691896258,3,WMT
2025-12-02,0.0,,1,WMT
2025-12-03,1.0,,1,WMT
2025-12-04,1.0,,1,WMT
2025-12-05,1.0,,1,WMT
2025-12-06,1.0,,1,WMT
2025-12-07,0.0,,1,WMT
2025-12-09,0.5,0.7071067811865476,2,WMT
2025-12-11,0.6666666666666666,0.5773502691896258,3,WMT
2025-12-12,1.0,0.0,2,WMT
2025-12-13,0.0,,1,WMT
2025-12-14,0.5,0.7071067811865476,2,WMT
2025-12-16,0.6,0.5477225575051662,5,WMT
2025-12-17,1.0,,1,WMT
2025-12-18,0.3333333333333333,0.5773502691896258,3,WMT
2025-12-20,0.25,0.5,4,WMT
2025-12-21,0.0,0.0,2,WMT
2025-12-22,1.0,,1,WMT
2025-12-23,1.0,,1,WMT
2025-12-24,0.5,0.7071067811865476,2,WMT
2025-12-25,0.0,,1,WMT
2025-12-26,0.0,,1,WMT
2025-12-27,0.0,,1,WMT
2025-12-28,0.0,,1,WMT
2025-12-29,0.0,0.0,2,WMT
2026-01-01,1.0,0.0,2,WMT
2026-01-02,0.0,0.0,5,WMT
2026-01-03,0.0,,1,WMT
2026-01-04,0.0,,1,WMT
2026-01-05,0.5,0.7071067811865476,2,WMT
2026-01-06,0.8,0.4472135954999579,5,WMT
2026-01-07,0.5,0.7071067811865476,2,WMT
2026-01-08,0.25,0.5,4,WMT
2026-01-09,0.0,,1,WMT
2026-01-10,0.0,,1,WMT
2026-01-12,0.0,,1,WMT
2026-01-13,1.0,0.0,2,WMT
2026-01-14,1.0,,1,WMT
2026-01-15,1.0,0.0,2,WMT
2026-01-16,0.6666666666666666,0.5773502691896258,3,WMT
2026-01-17,0.25,0.5,4,WMT
2026-01-18,1.0,,1,WMT
2026-01-20,0.8,0.4472135954999579,5,WMT
2026-01-21,0.6,0.5477225575051661,5,WMT
2026-01-22,0.3333333333333333,0.5773502691896258,3,WMT
2026-01-23,0.0,0.0,2,WMT
2026-01-24,1.0,,1,WMT
2026-01-25,0.0,0.0,3,WMT
2026-01-28,0.25,0.5,4,WMT
